director_name,ceremony,year,category,outcome,original_language
Mark Mamalakis,Berkeley Video & Film Festival,2004.0,Best of Festival,Won,en
Iram Haq,"Kosmorama, Trondheim Internasjonale Filmfestival",2014.0,Kanonprisen,Nominated,no
Ravi K. Chandran,Awards of the International Indian Film Academy,2006.0,Award for Technical Excellence,Won,ta
Kyra Sedgwick,Screen Actors Guild Awards,2012.0,Actor,Nominated,en
Peter Yates,"Academy Awards, USA",1984.0,Oscar,Nominated,en
Jackie Earle Haley,"National Society of Film Critics Awards, USA",2007.0,NSFC Award,2nd place,en
Álvaro Brechner,"Ariel Awards, Mexico",2015.0,Silver Ariel,Nominated,en
Hisham Zaman,Warsaw International Film Festival,2010.0,Best Short,Nominated,en
Franck Khalfoun,Chicago International Film Festival,2012.0,Gold Hugo,Nominated,en
Rebecca Zlotowski,Buenos Aires International Festival of Independent Cinema,2014.0,Best Film,Nominated,fr
Richard Linklater,Golden Schmoes Awards,2014.0,Golden Schmoes,Nominated,en
Babar Ahmed,Valleyfest Film Festival,2003.0,Jury Award,Won,en
Pauly Shore,Slamdunk Film Festival,2003.0,Audience Choice Award,Won,en
Tobias Lindholm,Zurich Film Festival,2012.0,Golden Eye,Nominated,da
James Wood,Broadcasting Press Guild Awards,2012.0,Broadcasting Press Guild Award,Won,en
Shunichi Nagasaki,Jeonju Film Festival,2002.0,Daring Digital Award,Nominated,ja
Ryan Nicholson,Leo Awards,2017.0,Leo,Won,en
Stere Gulea,Romanian Union of Filmmakers,1992.0,Romanian Union of Filmmakers Award,Won,en
Teodora Mihai,Budapest International Documentary Festival,2014.0,Festival Prize,Won,en
S. Pierre Yameogo,Ouagadougou Panafrican Film and Television Festival,1999.0,CILSS Population and Development Award,Won,en
Marcos Prado,Rio de Janeiro International Film Festival,2016.0,Honorable Mention,Won,pt
Tom Gerhardt,German Comedy Awards,2002.0,German Comedy Award,Nominated,de
Orna Ben-Dor Niv,Berlin International Film Festival,1989.0,FIPRESCI Prize,Won,en
Dinesh Vijan,"Stardust Awards, India",2013.0,Jury's Choice,Nominated,hi
Declan Lowney,San Francisco International Film Festival,1997.0,Certificate of Merit,Won,en
Neil Jordan,Humanitas Prize,2000.0,Humanitas Prize,Nominated,en
Walt Disney,"Academy Awards, USA",1969.0,Oscar,Won,en
Michael A. Pinckney,Atlanta Urban Mediamakers Film Festival,2013.0,Honorable Mention,Nominated,en
