director_name,ceremony,year,category,outcome,original_language
Makoto Shinozaki,Montréal World Film Festival,1996.0,FIPRESCI Prize,Won,ja
David Lean,"National Society of Film Critics Awards, USA",1985.0,NSFC Award,3rd place,en
Francesca Reverdito,MedFF,2017.0,Jury Prize,Won,en
Whoopi Goldberg,Online Film & Television Association,2014.0,OFTA Television Award,Nominated,en
Igor Šterk,Montpellier Mediterranean Film Festival,1998.0,Audience Award,Won,en
Catherine Tambini,Sundance Film Festival,2004.0,Special Jury Prize,Won,en
 	Huang Jian-Zhong,Skip City International D-Cinema Festival,2005.0,Best Technology,Won,zh
Anthony Wonke,BAFTA Awards,2015.0,BAFTA TV Award,Won,en
Ugo Tognazzi,Italian National Syndicate of Film Journalists,1966.0,Silver Ribbon,Won,it
Judith Godrèche,"César Awards, France",2003.0,César,Nominated,fr
David Wenham,Australian Film Institute,2002.0,AFI Award,Nominated,en
Lena von Döhren,"New York International Children's Film Festival, US",2013.0,Audience Award Short Films,Won,de
Jean Godard,Venice Film Festival,1996.0,"Filmcritica ""Bastone Bianco"" Award",Won,fr
Moussa Touré,Munich Film Festival,2012.0,ARRI Award,Won,fr
Ian Cheney,Rappahannock Independent Film Festival,2011.0,Jury Award,Won,en
Gastón Duprat,CPH PIX,2009.0,New Talent Grand PIX,Nominated,es
Benito Alazraki,Cannes Film Festival,1955.0,Palme d'Or,Nominated,es
Tom McCarthy,Florida Film Critics Circle Awards,2015.0,FFCC Award,Won,en
Miguel Albaladejo,Dallas OUT TAKES,2004.0,Best Feature,Won,en
Pablo Lamar,Cannes Film Festival,2009.0,Discovery Award,Nominated,en
Jeffrey Blitz,Film Independent Spirit Awards,2003.0,Truer Than Fiction Award,Nominated,en
Muriel d'Ansembourg,Cork International Film Festival,2013.0,Grand Prix International,Nominated,en
Michael Ballhaus,Awards Circuit Community Awards,2002.0,ACCA,Nominated,de
François Pirot,Angers European First Film Festival,2006.0,European Jury Award,Won,fr
Eric Bana,MTV Movie + TV Awards,2005.0,MTV Movie Award,Nominated,en
Darezhan Omirbayev,Tokyo FILMeX,2008.0,Grand Prize,Nominated,en
Spike Lee,20/20 Awards,2010.0,Felix,Won,en
Andreas Thomopoulos,Thessaloniki Film Festival,1997.0,Greek Union of Film and Television Technicians Award,Won,el
Anna Frances Ewert,SXSW Film Festival,2013.0,SXSW Grand Jury Award,Nominated,en
Aleksey Mizgiryov,Sochi Open Russian Film Festival,2007.0,Best Debut,Won,en
Charles de Lauzirika,DVD Exclusive Awards,2001.0,Video Premiere Award,Nominated,en
Tannaz Hazemi,Cape Fear Independent Film Festival,2016.0,Best Family Film,Won,en
Carolina Rivas,Women Film Critics Circle Awards,2006.0,Courage in Filmmaking Award,Won,en
Spede Pasanen,Jussi Awards,1985.0,Lifetime Achievement Jussi,Won,fi
Artur Aristakisyan,Taormina International Film Festival,1994.0,Golden Charybdis,Nominated,ru
Anjelica Huston,20/20 Awards,2010.0,Felix,Nominated,en
Gérald Hustache-Mathieu,Brest European Short Film Festival,2002.0,Audience Award,Won,en
Raúl Ruiz,Cannes Film Festival,1996.0,Palme d'Or,Nominated,en
Jan P. Matuszyński,Vilnius International Film Festival,2017.0,New Europe - New Names Competition,Won,pl
Niels Arden Oplev,Broadcast Film Critics Association Awards,2011.0,Critics Choice Award,Won,da
Nicolaï Troshinsky,Chicago International Film Festival,2014.0,Gold Hugo,Nominated,es
Gianni Quaranta,Italian National Syndicate of Film Journalists,1983.0,Silver Ribbon,Won,it
Marie Epstein,Venice Film Festival,1935.0,Mussolini Cup,Nominated,en
Sameer Hanchate,Cyprus International Film Festival,2008.0,CIFF Award,Won,hi
Michael Sheen,Online Film & Television Association,2007.0,OFTA Film Award,Nominated,en
Barry Levinson,Italian National Syndicate of Film Journalists,1989.0,Silver Ribbon,Nominated,en
Donald Crombie,Australian Film Institute,1975.0,Bronze Award,Won,en
Eran Kolirin,Valladolid International Film Festival,2007.0,Best Screenplay,Won,he
Stanley Tong,Hong Kong Film Awards,1996.0,Hong Kong Film Award,Won,cn
Geoff D'Eon,Atlantic Film Festival,2014.0,Atlantic Canadian Award,Won,en
Michael Moore,Primetime Emmy Awards,1995.0,Primetime Emmy,Won,en
Willy Zielke,German Film Awards,1957.0,Film Award in Silver,Won,en
Mark Sheppard,"Academy of Science Fiction, Fantasy & Horror Films, USA",2013.0,Saturn Award,Nominated,en
Ilya Khotinenko,Sochi Open Russian Film Festival,2000.0,Grand Prize of the Festival,Nominated,en
Jean-Luc Godard,Rotterdam International Film Festival,1986.0,Rotterdam Award,Won,fr
Lee Sang-woo,Singapore International Film Festival,2015.0,Silver Screen Award,Nominated,ko
Joe Berlinger,Florida Film Festival,1996.0,Audience Award,Won,en
Massimo Troisi,Italian National Syndicate of Film Journalists,1995.0,Special Silver Ribbon,Won,it
Bettina Blümner,Berlin International Film Festival,2007.0,DIALOGUE en Perspective,Won,de
Leonard Stern,Primetime Emmy Awards,1967.0,Primetime Emmy,Won,en
Petrus Cariry,Cine Ceará - National Cinema Festival,2008.0,Feature Film Trophy,Won,pt
David D. Williams,Sundance Film Festival,1993.0,Special Jury Prize,Won,en
Matthew Bonifacio,Tribeca Film Festival,2013.0,Jury Award,Nominated,en
Joel Oliansky,Humanitas Prize,1975.0,Humanitas Prize,Nominated,en
Nadav Kurtz,Chicago International Film Festival,2012.0,Gold Hugo,Nominated,en
Joe Maggio,Atlanta Film Festival,2003.0,Jury Award,Won,en
Jacques Tati,Cannes Film Festival,1958.0,Jury Special Prize,Won,fr
Chiwetel Ejiofor,Monte-Carlo TV Festival,2007.0,Golden Nymph,Won,en
André-Line Beauparlant,Directors Guild of Canada,2013.0,DGC Craft Award,Nominated,en
Ada Neretniece,Latvian National Film Festival,1988.0,Latvian Film Prize,Won,lv
Stephen Frears,BAFTA Awards,2007.0,Alexander Korda Award for Best British Film,Nominated,en
Kon Ichikawa,Montréal World Film Festival,2001.0,Grand Prix des Amériques,Nominated,ja
Steven Seagal,The Stinkers Bad Movie Awards,2002.0,Stinker Award,Nominated,en
Amber Tamblyn,Teen Choice Awards,2005.0,Teen Choice Award,Nominated,en
Ellen Goosenberg Kent,Primetime Emmy Awards,2008.0,Primetime Emmy,Nominated,en
Lav Diaz,Singapore International Film Festival,2002.0,Silver Screen Award,Won,tl
Antoinette Jadaone,Cinema One Originals Digital Film Festival,2011.0,Festival Prize,Won,en
Kyle William Roberts,Juggernaut Sci-Fi/Fantasy Short Film Festival,2016.0,Unicorn Indie Spirit Award,Won,en
Giacomo Campiotti,Avignon Film Festival,2000.0,Prix Tournage,Won,it
Calvin Lee Reeder,Austin Fantastic Fest,2016.0,Best Director,Won,en
Cemil Ağacıkoğlu,"Nuremberg Film Festival ""Turkey-Germany""",2009.0,Best Short,Nominated,tr
Michael Haneke,Cannes Film Festival,2000.0,Prize of the Ecumenical Jury,Won,de
Matthias Luthardt,Cannes Film Festival,2006.0,SACD Screenwriting Award,Won,de
Molly Parker,Gotham Awards,2005.0,Gotham Independent Film Award,Nominated,en
Prince,Brit Awards,1996.0,Brit,Won,en
